device_id,date,stationary,walking,running,automotive,cycling,unknown
631788ed-6d66-4c1c-8b18-c2d320fd3043,2023-01-03,767,101,3,0,0,0
631788ed-6d66-4c1c-8b18-c2d320fd3043,2023-01-04,36,4,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-23,104,28,0,27,4,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-24,795,39,0,33,0,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-25,758,14,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-26,821,9,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-27,712,68,1,306,86,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-28,1341,63,0,107,6,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-29,635,78,0,190,1,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-30,881,22,0,678,4,0
6620e444-66bf-40f4-9897-f3897043b866,2022-12-31,841,33,0,90,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-01,849,2,0,67,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-02,912,0,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-03,704,32,0,72,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-04,873,33,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-05,814,4,0,0,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-06,750,48,0,107,2,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-07,1065,43,0,157,2,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-08,986,62,0,89,4,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-09,857,37,0,107,6,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-10,864,8,0,30,0,0
6620e444-66bf-40f4-9897-f3897043b866,2023-01-11,447,17,0,32,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-16,641,18,0,83,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-17,815,24,0,139,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-18,931,64,0,223,3,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-19,819,34,0,233,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-20,958,4,0,191,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-21,888,17,0,157,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-22,878,31,0,142,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-23,1036,42,0,108,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-24,844,11,0,46,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-25,950,44,0,125,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-26,901,29,0,127,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-27,1009,26,0,102,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-28,1027,10,0,132,5,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-29,1007,23,0,154,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-11-30,1019,23,0,85,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-01,924,38,1,182,4,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-02,847,50,0,67,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-03,956,40,0,380,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-04,1146,22,0,129,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-05,940,10,0,52,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-06,1042,26,0,137,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-07,875,19,0,108,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-08,908,47,0,228,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-09,812,33,0,111,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-10,692,29,0,177,6,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-11,971,5,0,44,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-12,829,15,0,134,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-13,952,10,0,81,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-14,934,23,0,131,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-15,969,22,0,335,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-16,888,64,0,193,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-17,700,50,0,310,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-18,1048,12,0,133,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-19,873,17,0,104,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-20,801,48,0,244,23,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-21,873,44,0,200,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-22,758,77,0,142,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-23,964,22,0,28,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-24,927,14,0,116,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-25,941,19,0,82,1,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-26,858,22,0,65,4,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-27,894,18,0,79,2,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-28,913,12,0,28,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-29,888,34,0,98,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-30,993,19,0,91,0,0
6965b966-d305-4743-b425-3f7b924293a4,2022-12-31,1096,27,0,269,0,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-01,1304,14,0,53,6,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-02,1024,32,0,235,3,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-03,930,16,0,65,0,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-04,1029,13,0,72,0,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-05,974,34,1,123,0,0
6965b966-d305-4743-b425-3f7b924293a4,2023-01-06,911,47,0,59,0,0
